,InSituSM
2019-09-18,0.24799181914980895
2019-09-28,0.32748917989417986
2019-10-08,0.30300791666666665
2019-10-18,0.24998533356578334
2019-10-28,0.2478826246425351
2019-11-07,0.2267625561010543
2019-11-17,0.22611153055308775
2019-11-27,0.26269966758098223
2019-12-07,0.25947686370089557
2019-12-17,0.2580723146169633
2019-12-27,0.329523639349757
2020-01-06,0.3533882569708273
2020-01-16,0.3803051223241591
2020-01-26,0.3983112351421189
2020-02-05,0.35981982986720734
2020-02-15,0.35026225695536833
2020-02-25,0.3732990836204659
2020-03-06,0.3820867270354055
2020-03-16,0.40951951890549126
2020-03-26,0.37551327935297896
2020-04-05,0.3097458262421364
2020-04-15,0.30325637292021795
2020-04-25,0.3203402777777778
2020-05-05,0.26081226274544855
2020-05-15,0.2818356857422188
2020-05-25,0.2570414005113901
2020-06-04,0.14720211029312244
2020-06-14,0.1901200761273826
2020-06-24,0.17146146094839612
2020-07-04,0.20536595368582292
2020-07-14,0.3144960779442685
2020-07-24,0.3262203190104344
2020-08-03,0.35687949284250703
2020-08-13,0.3189360026360384
2020-08-23,0.24054652369525212
2020-09-02,0.21305279203471253
2020-09-12,0.30681416666666667
2020-09-22,0.22895110056258794
2020-10-02,0.17794692638561702
2020-10-12,0.1527739506285575
2020-10-22,0.2052184506774631
2020-11-01,0.3403625789025053
2020-11-11,0.32626013707216905
2020-11-21,0.3321940503881335
2020-12-01,0.36123415052461666
2020-12-11,0.3583630065717415
2020-12-21,0.3661816238146565
2020-12-31,0.42248699181572924
2021-01-10,0.3693841529557
2021-01-20,0.36767147401930966
2021-01-30,0.40311673628031097
2021-02-09,
2021-02-19,0.3501866899224806
2021-03-01,0.3651907210417051
2021-03-11,0.3964163017580456
2021-03-21,0.4061198871996999
2021-03-31,0.35533060498405394
2021-04-10,0.34029564211282276
2021-04-20,0.34439251526434056
2021-04-30,0.33348394256838976
2021-05-10,0.29973623255036635
2021-05-20,0.2924618368949496
2021-05-30,0.30542591435246486
2021-06-09,0.19120843057983042
2021-06-19,0.20138761992080578
2021-06-29,0.35319604583139624
2021-07-09,0.20922224439775908
2021-07-19,0.15683796908712702
2021-07-29,0.17434160091459416
2021-08-08,0.14558808391940414
2021-08-18,0.1350103626298439
2021-08-28,0.1574390447170628
2021-09-07,0.17650997044917258
2021-09-17,0.13613542432528689
2021-09-27,0.2044371228285422
2021-10-07,0.27024208452701737
2021-10-17,0.29116570585097357
2021-10-27,0.282271910158066
2021-11-06,0.2784888410364146
2021-11-16,0.25672914769932637
2021-11-26,0.24456707484716453
2021-12-06,
2021-12-16,0.2164736704313378
2021-12-26,0.21342657171414292
2019-01-01,0.30469929813931174
2019-01-11,0.3514060617000905
2019-01-21,0.313116501650165
2019-01-31,0.28789756693829643
2019-02-10,0.2838032306073986
2019-02-20,0.27017854166666666
2019-03-02,0.24080277870154823
2019-03-12,0.25428263888888886
2019-03-22,0.2442422825335527
2019-04-01,0.2577819444444444
2019-04-11,0.23183493402391586
2019-04-21,0.24112644874476985
2019-05-01,0.3648912431894376
2019-05-11,0.3332110632388549
2019-05-21,0.40020758756088665
2019-05-31,0.3153311018131102
2019-06-10,0.2829432223384472
2019-06-20,0.27003097222222217
2019-06-30,0.2606990277777778
2019-07-10,0.2014365277777778
2019-07-20,0.1570775448289987
2019-07-30,0.2144776388888889
2019-08-09,0.2579077777777778
2019-08-19,0.2798955910041841
2019-08-29,0.27088069444444446
2019-09-08,0.21560415434528243
2019-09-18,0.24695575836820083
2019-09-28,0.2677714994208449
2019-10-08,0.2680131944444445
2019-10-18,0.25549953068047304
2019-10-28,0.2763761111111111
2019-11-07,0.27649859673076194
2019-11-17,0.2700886971176197
2019-11-27,0.277079593837535
2019-12-07,0.2519281768038516
2019-12-17,0.24143985901859133
2019-12-27,0.2675815434681544
2020-01-06,0.2765196421876838
2020-01-16,0.30542124414761496
2020-01-26,0.30516101273560275
2020-02-05,0.293120073902795
2020-02-15,0.2872951499686135
2020-02-25,0.313729558101473
2020-03-06,0.3028281276150628
2020-03-16,0.36076945109051106
2020-03-26,0.362213506643191
2020-04-05,0.30268652777777777
2020-04-15,0.28314957583946126
2020-04-25,0.311337268907563
2020-05-05,0.29216911958671327
2020-05-15,0.3322416945020686
2020-05-25,0.32144815260234477
2020-06-04,0.21233319444444443
2020-06-14,0.2105160768247327
2020-06-24,0.21382180555555555
